axiom_name,classification,source_id,section,clause_text
text-ballot-omits-trigger-condition,STRUCTURAL_FACT,ballot-specimen-2026,question,"Ballot question does not reference the conditional trigger of another state's action"
text-richmond-exclusive-venue,STRUCTURAL_FACT,lis-hb1384,enactment-p4,"Circuit Court of the City of Richmond shall have exclusive jurisdiction"
text-venue-transfers-pending-cases,STRUCTURAL_FACT,lis-hb1384,enactment-p4,"any proceeding pending in any other court shall be transferred"
text-election-after-first-passage,BRIDGE_RULE,va-boe-2025,chronology,"First passage March 11 2024 (day 70) precedes both early voting September 19 2025 (day 627) and election day November 4 2025 (day 673)"
challenger-scenario-election-qualifies,SCENARIO_FACT,va-boe-2025,general,"2025 general election occurred between first and second passage"
challenger-scenario-second-passage-after-election,SCENARIO_FACT,lis-hb1384,chronology,"Second passage January 16 2026 (day 746) after election day November 4 2025 (day 673)"
commonwealth-scenario-election-qualifies,SCENARIO_FACT,va-boe-2025,general,"2025 general election occurred between first and second passage"
commonwealth-scenario-second-passage-after-election,SCENARIO_FACT,lis-hb1384,chronology,"Second passage January 16 2026 (day 746) after election day November 4 2025 (day 673)"
challenger-bridge-void-not-survivable,INTERPRETATION_CHALLENGER,va-sc-order-2026,p5-bullet1,"void ab initio finding is legally dispositive"
challenger-bridge-void,INTERPRETATION_CHALLENGER,va-sc-order-2026,p5-bullet1,"void ab initio finding is dispositive - void challenge not survivable"
challenger-bridge-90-day,INTERPRETATION_CHALLENGER,va-sc-order-2026,pp5-6,"submission occurs at early voting start; 49 days < 90 days"
challenger-bridge-notice,INTERPRETATION_CHALLENGER,va-sc-order-2026,p5-bullet3,"Section 30-13 publication is strictly mandatory"
challenger-bridge-temporal-material,INTERPRETATION_CHALLENGER,ballot-specimen-2026,question,"temporal window is material for ballot disclosure"
challenger-bridge-trigger-material,INTERPRETATION_CHALLENGER,ballot-specimen-2026,question,"trigger condition is material for ballot disclosure"
challenger-bridge-single-object,INTERPRETATION_CHALLENGER,va-sc-order-2026,p6,"combining Article II and Schedule modifications violates single object"
challenger-bridge-venue,INTERPRETATION_CHALLENGER,lis-hb1384,enactment-p4,"mandatory venue centralization is an independent structural defect"
challenger-bridge-transfer,INTERPRETATION_CHALLENGER,lis-hb1384,enactment-p4,"forced transfer of pending cases is procedurally problematic"
commonwealth-bridge-void-survivable,INTERPRETATION_COMMONWEALTH,va-sc-order-2026,p5-bullet1,"void ab initio finding is reversible on appeal"
commonwealth-bridge-90-day,INTERPRETATION_COMMONWEALTH,va-const-art-xii-s1,para2,"submission occurs on election day; 95 days >= 90 days"
commonwealth-bridge-notice,INTERPRETATION_COMMONWEALTH,va-code-30-13,repealed,"Section 30-13 is directory not mandatory; repealed retroactively"
commonwealth-bridge-temporal-nonmaterial,INTERPRETATION_COMMONWEALTH,ballot-specimen-2026,question,"temporal window is not material for the core redistricting purpose"
commonwealth-bridge-trigger-nonmaterial,INTERPRETATION_COMMONWEALTH,ballot-specimen-2026,question,"trigger condition is not material for the core redistricting purpose"
commonwealth-bridge-single-object,INTERPRETATION_COMMONWEALTH,va-const-art-iv-s12,text,"Article II + Schedule modifications are germane to single object of redistricting"
commonwealth-bridge-venue,INTERPRETATION_COMMONWEALTH,lis-hb1384,enactment-p4,"venue centralization is germane to amendment administration"
commonwealth-bridge-transfer,INTERPRETATION_COMMONWEALTH,lis-hb1384,enactment-p4,"General Assembly has authority to prescribe venue including transfer"
